Sequence Name	GI	Percent Identity	Length	e-value	Query Start	Query End	Subject Start	Subject End	Gaps	Score	Bits
File: Assembly_combined_cap3.txt 
Contig42	gi|14456617|Na-ATPase	97.87	47	1	0	89	135	3993	3947	1e-18	82.4
Contig287	gi|14456617|Na-ATPase	99.45	183	1	0	1	183	314	496	2e-94	 333
Contig357	gi|355398356|NR2-2/2HbN	95.04	2257	102	6	22	2273	2833	582	0.0	3539
Contig357	gi|240129575|NR1	94.62	1022	47	4	1256	2273	1635	618	0.0	1576
Contig357	gi|240129575|NR1	94.37	923	50	2	22	943	2548	1627	0.0	1415
Contig888	gi|14456617|Na-ATPase	95.96	1014	41	0	1	1014	2980	3993	0.0	1646
Contig891	gi|32130540|psbO	99.10	1107	7	3	218	1321	1107	1	0.0	1986
Contig930	gi|14456617|Na-ATPase	96.05	1770	64	6	1	1767	2777	1011	0.0	2876
Contig4429	gi|14456617|Na-ATPase	95.24	63	3	0	41	103	3931	3993	2e-24	 100
Contig5066	gi|355398356|NR2-2/2HbN	93.09	2779	183	8	87	2862	2797	25	0.0	4060
Contig5066	gi|240129575|NR1	92.41	1580	113	6	1285	2862	1635	61	0.0	2246
Contig5066	gi|240129575|NR1	91.88	887	70	2	87	972	2512	1627	0.0	1238
Contig9978	gi|14456617|Na-ATPase	97.89	142	3	0	1	142	766	625	4e-68	 246
Contig9978	gi|14456617|Na-ATPase	99.22	128	1	0	446	573	625	498	1e-63	 231
Contig10224	gi|14456617|Na-ATPase	97.94	97	0	2	794	889	315	220	5e-44	 167
Contig10224	gi|14456617|Na-ATPase	100.00	69	0	0	1	69	379	311	2e-32	 128
Contig11114	gi|14456617|Na-ATPase	98.28	58	1	0	596	653	2197	2140	1e-24	 102
Contig11114	gi|14456617|Na-ATPase	97.22	36	1	0	1	36	2221	2186	2e-12	62.1
Contig14029	gi|14456617|Na-ATPase	97.95	146	3	0	608	753	771	626	3e-70	 254
Contig14312	gi|14456617|Na-ATPase	97.30	37	1	0	3506	3542	1089	1053	3e-12	63.9
Contig15827	gi|603053|psbA	99.84	1245	2	0	1	1245	14	1258	0.0	2289
Contig16153	gi|14456617|Na-ATPase	86.95	452	43	15	1	444	1541	1984	1e-142	 494
Contig16503	gi|355398356|NR2-2/2HbN	99.75	2833	7	0	56	2888	2833	1	0.0	5193
Contig16503	gi|240129575|NR1	99.63	1635	6	0	1290	2924	1635	1	0.0	2987
Contig16503	gi|240129575|NR1	99.89	922	1	0	56	977	2548	1627	0.0	1698
Contig17420	gi|355398356|NR2-2/2HbN	94.17	2247	121	6	99	2340	2797	556	0.0	3415
Contig17420	gi|240129575|NR1	94.56	1048	49	4	1297	2340	1635	592	0.0	1613
Contig17420	gi|240129575|NR1	91.66	887	72	2	99	984	2512	1627	0.0	1227
Contig18291	gi|146739105|prk	100.00	1220	0	0	22	1241	1	1220	0.0	2254
Contig20674	gi|14456617|Na-ATPase	100.00	34	0	0	750	783	89	122	6e-13	63.9
Contig21498	gi|14456617|Na-ATPase	99.27	3994	27	2	606	4598	3993	1	0.0	7214
Contig24867	gi|14456617|Na-ATPase	100.00	33	0	0	1	33	795	763	6e-13	62.1
Contig28330	gi|603053|psbA	100.00	34	0	0	1	34	34	1	7e-13	63.9
Contig28544	gi|355398356|NR2-2/2HbN	96.70	940	31	0	137	1076	2797	1858	0.0	1565
Contig28544	gi|240129575|NR1	96.50	886	31	0	137	1022	2512	1627	0.0	1465
Contig37972	gi|14456617|Na-ATPase	97.30	37	1	0	2727	2763	1089	1053	3e-12	63.9
Contig46575	gi|14456617|Na-ATPase	75.41	1049	235	21	521	1558	1238	202	7e-140	 486
Contig46575	gi|14456617|Na-ATPase	100.00	49	0	0	1	49	1581	1533	6e-21	91.6
Contig47097	gi|14456617|Na-ATPase	94.44	2250	115	10	384	2628	3255	1011	0.0	3454
Contig47097	gi|14456617|Na-ATPase	83.22	149	15	8	1	141	3632	3486	7e-32	 128
Contig49060	gi|355398356|NR2-2/2HbN	94.64	2798	145	3	94	2887	2797	1	0.0	4331
Contig49060	gi|240129575|NR1	95.59	1634	69	1	1293	2923	1634	1	0.0	2615
Contig49060	gi|240129575|NR1	92.78	887	62	2	94	979	2512	1627	0.0	1282
File: Oases_knorm.txt 
Locus_13_Transcript_1/1_Confidence_1.000_Length_1607	gi|146739105|prk	99.31	1160	5	2	449	1607	1220	63	0.0	2095
Locus_49_Transcript_1/2_Confidence_0.750_Length_255	gi|32130540|psbO	95.72	257	7	4	1	255	769	515	6e-118	 411
Locus_49_Transcript_2/2_Confidence_0.750_Length_256	gi|32130540|psbO	97.66	256	5	1	1	256	769	515	3e-126	 438
Locus_203_Transcript_1/5_Confidence_0.611_Length_781	gi|14456617|Na-ATPase	98.54	756	11	0	26	781	3215	3970	0.0	1336
Locus_203_Transcript_1/5_Confidence_0.611_Length_781	gi|14456617|Na-ATPase	100.00	30	0	0	1	30	3277	3306	1e-10	56.5
Locus_203_Transcript_2/5_Confidence_0.722_Length_1079	gi|14456617|Na-ATPase	98.56	972	14	0	1	972	2980	3951	0.0	1718
Locus_203_Transcript_3/5_Confidence_0.389_Length_368	gi|14456617|Na-ATPase	96.20	368	14	0	1	368	3603	3970	1e-175	 603
Locus_203_Transcript_4/5_Confidence_0.556_Length_1234	gi|14456617|Na-ATPase	95.86	1014	42	0	1	1014	2980	3993	0.0	1640
Locus_203_Transcript_5/5_Confidence_0.722_Length_991	gi|14456617|Na-ATPase	98.59	991	14	0	1	991	2980	3970	0.0	1753
